catalog_id,country,country_code,jurisdiction,office,search_url,status_lookup_url,filing_url,registry_url,gazette_url,journal_url,api_url,api_docs_url,bulk_download_url,response_format,pagination,query_parameters,access_type,authentication,rate_limit,supports_nice_classes,supports_image_search,update_frequency,status,last_verified,notes
TMK-0269,India,IN,"India","IP India Journal",https://search.ipindia.gov.in/IPOJournal/Journal/Trademark,https://search.ipindia.gov.in/IPOJournal/Journal/Trademark,https://ipindia.gov.in,https://search.ipindia.gov.in/IPOJournal/Journal/Trademark,https://search.ipindia.gov.in/IPOJournal/Journal/Trademark,https://search.ipindia.gov.in/IPOJournal/Journal/Trademark,No API,No docs,PDF journal bulk,HTML + PDF,Page navigation,Journal date / issue,public_portal,No login,Not published,Yes,No,Weekly,active,2026-07-20,"Primary Indian trademark publication source; useful for monitoring filings via PDF extraction."
TMK-0270,India,IN,"India","Controller General of Patents, Designs & Trade Marks",https://ipindia.gov.in,https://ipindia.gov.in,https://ipindia.gov.in,https://ipindiaonline.gov.in/tmrpublicsearch/frmmain.aspx,https://ipindia.gov.in/writereaddata/Portal/IPOJournal,https://ipindia.gov.in/writereaddata/Portal/IPOJournal,No API,No docs,Journal PDFs,HTML portal,N/A,Portal navigation,public_portal,No login,Not published,Yes,No,Periodic,active,2026-07-20,"Top-level portal; actual search via TMR public search."
TMK-0271,Pakistan,PK,"Pakistan","IPO Pakistan",https://ipo.gov.pk,https://ipo.gov.pk,https://ipo.gov.pk,No structured registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"Portal only; no verified public searchable trademark DB."
TMK-0272,Pakistan,PK,"Pakistan","IPO Pakistan Trademark Services",https://ipo.gov.pk/trademark,https://ipo.gov.pk/trademark,https://ipo.gov.pk/trademark,No structured registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,Service navigation,public_portal,No login,Not published,Yes,No,Ad hoc,active,2026-07-20,"Service-level page; no direct searchable registry confirmed."
TMK-0273,Bangladesh,BD,"Bangladesh","DPDT",https://dpdt.gov.bd,https://dpdt.gov.bd,https://dpdt.gov.bd,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual request,N/A,Yes,No,Ad hoc,active,2026-07-20,"No online trademark database verified."
TMK-0274,Sri Lanka,LK,"Sri Lanka","NIPO Sri Lanka",https://www.nipo.gov.lk,https://www.nipo.gov.lk,https://www.nipo.gov.lk,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"No structured public search identified."
TMK-0275,Nepal,NP,"Nepal","Department of Industry",https://doind.gov.np,https://doind.gov.np,https://doind.gov.np,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"Trademark data not exposed via public system."
TMK-0276,Bhutan,BT,"Bhutan","IP Division Bhutan",https://www.moice.gov.bt,https://www.moice.gov.bt,https://www.moice.gov.bt,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"Portal only."
TMK-0277,Maldives,MV,"Maldives","Ministry of Economic Development",https://trade.gov.mv,https://trade.gov.mv,https://trade.gov.mv,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"No public registry confirmed."
TMK-0278,Kazakhstan,KZ,"Kazakhstan","National Institute of Intellectual Property",https://kazpatent.kz,https://kazpatent.kz,https://kazpatent.kz,No clear search endpoint verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"Limited public search visibility."
TMK-0279,Kyrgyzstan,KG,"Kyrgyzstan","Kyrgyzpatent",https://patent.kg,https://patent.kg,https://patent.kg,No clear search endpoint verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"Portal only."
TMK-0280,Uzbekistan,UZ,"Uzbekistan","Intellectual Property Agency",https://ima.uz,https://ima.uz,https://ima.uz,No clear search endpoint verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"Limited digital exposure."
TMK-0281,Tajikistan,TJ,"Tajikistan","National Patent Information Center",https://ncpi.tj,https://ncpi.tj,https://ncpi.tj,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"Manual system."
TMK-0282,Turkmenistan,TM,"Turkmenistan","Turkmenpatent",https://turkmenpatent.gov.tm,https://turkmenpatent.gov.tm,https://turkmenpatent.gov.tm,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"No online searchable DB."
TMK-0283,Azerbaijan,AZ,"Azerbaijan","COPAT",https://copat.gov.az,https://copat.gov.az,https://copat.gov.az,No structured search endpoint verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"Portal only."
TMK-0284,Armenia,AM,"Armenia","AIPA",https://www.aipa.am,https://www.aipa.am,https://www.aipa.am,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"Limited public data."
TMK-0286,Mongolia,MN,"Mongolia","IPOM",https://www.ipom.mn,https://www.ipom.mn,https://www.ipom.mn,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"No public registry confirmed."
TMK-0287,Taiwan,TW,"Taiwan","TIPO Office",https://www.tipo.gov.tw/en,https://www.tipo.gov.tw/en,https://www.tipo.gov.tw/en,https://cloud.tipo.gov.tw/S282/S282WV1,No gazette,No journal,No API,No docs,No bulk,HTML portal,N/A,Portal navigation,public_portal,No login,Not published,Yes,No,Periodic,active,2026-07-20,"Search handled via separate system."
TMK-0288,Taiwan,TW,"Taiwan","TIPO Trademark Search",https://twtmsearch.tipo.gov.tw,https://twtmsearch.tipo.gov.tw,https://www.tipo.gov.tw/en,https://twtmsearch.tipo.gov.tw,No gazette,No journal,No API,No docs,No bulk,HTML UI,Session-based,Mark / owner / class,public_portal,No login,Not published,Yes,Yes,Daily,active,2026-07-20,"Primary Taiwanese trademark database."
TMK-0289,ASEAN,ASEAN,"ASEAN (Regional)","ASEAN TMview",https://www.asean-tmview.org,https://www.asean-tmview.org,https://www.asean-tmview.org,https://www.asean-tmview.org,No gazette,No journal,No API,No docs,No bulk,HTML UI,Page navigation,Mark / owner / class / jurisdiction,public_portal,No login,Not published,Yes,Yes,Daily,active,2026-07-20,"Aggregated regional search; similar to EU TMview."
