catalog_id,country,country_code,jurisdiction,office,search_url,status_lookup_url,filing_url,registry_url,gazette_url,journal_url,api_url,api_docs_url,bulk_download_url,response_format,pagination,query_parameters,access_type,authentication,rate_limit,supports_nice_classes,supports_image_search,update_frequency,status,last_verified,notes
TMK-0151,United States,US-DC,"District of Columbia, United States","DC Department of Licensing - Trademarks",https://corponline.dcra.dc.gov/BusinessEntitySearch,https://corponline.dcra.dc.gov/BusinessEntitySearch,https://dlcp.dc.gov/service/register-trade-name,https://corponline.dcra.dc.gov/BusinessEntitySearch,No official gazette verified,No journal verified,No documented API,No API docs,No bulk data,HTML UI,UI pagination via search results,Name / entity / filing number,public_portal,No login for search,Not published,No,No,Transaction-based,active,2026-07-20,"Combined business + trade name search; trademark records embedded; scrape requires filtering by entity type."
TMK-0152,Puerto Rico,PR,"Puerto Rico, United States Territory","Puerto Rico Trademark Registry",https://prcorpfiling.f1hst.com/CorporationSearch.aspx,https://prcorpfiling.f1hst.com/CorporationSearch.aspx,https://prcorpfiling.f1hst.com/,https://prcorpfiling.f1hst.com/CorporationSearch.aspx,No gazette verified,No journal verified,No API,No API docs,No bulk data,HTML UI,Server-side pagination,Name / record number / status,public_portal,Public search,Not published,Partial,No,Transaction-based,active,2026-07-20,"Territorial registry; mixed corporate + trademark data; requires filtering."
TMK-0153,Guam,GU,"Guam, United States Territory","Guam Department of Revenue and Taxation",https://rev-tax.guam.gov/,Not directly available,https://rev-tax.guam.gov/business-license/,No direct registry,No gazette,No journal,No API,No docs,No bulk,Manual / HTML,N/A,N/A,manual,Manual access required,N/A,No,No,Ad hoc,active,2026-07-20,"No structured public trademark search; manual filing + records request."
TMK-0154,United States,US-VI,"U.S. Virgin Islands","USVI Division of Corporations and Trademarks",https://ltg.gov.vi/departments/corporations-trademarks/,Not directly available,https://ltg.gov.vi/departments/corporations-trademarks/,No direct registry,No gazette,No journal,No API,No docs,No bulk,HTML / manual,N/A,N/A,manual,Manual request,N/A,No,No,Ad hoc,active,2026-07-20,"No online searchable trademark database verified."
TMK-0155,United States,US-AS,"American Samoa","American Samoa Trademark Office",https://asbar.org/,Not available,https://asbar.org/,No registry,No gazette,No journal,No API,No docs,No bulk,Manual,N/A,N/A,manual,Manual,N/A,No,No,Ad hoc,active,2026-07-20,"No structured public system; records handled via office/legal system."
TMK-0156,Canada,CA,"Canada (Federal)","Canadian Intellectual Property Office (CIPO)",https://ised-isde.canada.ca/cipo/trademark-search,https://ised-isde.canada.ca/cipo/trademark-search,https://ised-isde.canada.ca/cipo/trademark-registration,https://ised-isde.canada.ca/cipo/trademark-search,https://ised-isde.canada.ca/cipo/trademark-journal,https://ised-isde.canada.ca/cipo/trademark-journal,No public API,No docs,No bulk dataset,HTML UI,Offset-based paging,Name / owner / Nice class / status,public_portal,No login for search,Not published,Yes,Yes,Daily/weekly,active,2026-07-20,"Strong national registry; supports Nice classification and image viewing but not similarity search."
TMK-0157,United Kingdom,GB,"United Kingdom","UK IPO Trademark Register",https://trademarks.ipo.gov.uk/ipo-tmtext,https://trademarks.ipo.gov.uk/ipo-tmtext,https://www.gov.uk/how-to-register-a-trade-mark,https://trademarks.ipo.gov.uk/ipo-tmtext,https://www.ipo.gov.uk/tmjournal,https://www.ipo.gov.uk/tmjournal,No API,No docs,No bulk,HTML UI,Page-based results,Mark / owner / class / status,public_portal,No login,Not published,Yes,Yes,Daily,active,2026-07-20,"One of the cleanest national search UIs; stable scraping with session handling."
TMK-0158,Australia,AU,"Australia","IP Australia ATMOSS",https://search.ipaustralia.gov.au/trademarks/search/quick,https://search.ipaustralia.gov.au/trademarks/search/quick,https://www.ipaustralia.gov.au/trade-marks/apply,https://search.ipaustralia.gov.au/trademarks/search/quick,https://www.ipaustralia.gov.au/trade-marks/publications,https://www.ipaustralia.gov.au/trade-marks/publications,No public API,Developer portal exists,No public bulk,HTML UI,Cursor-based session paging,Mark / owner / class / status,public_portal,No login,Not published,Yes,Yes,Daily,active,2026-07-20,"Strong structured UI; API access restricted to partners."
TMK-0159,New Zealand,NZ,"New Zealand","IPONZ Trademark Register",https://app.iponz.govt.nz/app/Extra/IPONZ/IPONZ.aspx,https://app.iponz.govt.nz/app/Extra/IPONZ/IPONZ.aspx,https://www.iponz.govt.nz/apply/,https://app.iponz.govt.nz/app/Extra/IPONZ/IPONZ.aspx,https://www.iponz.govt.nz/news/journal/,https://www.iponz.govt.nz/news/journal/,No API,No docs,No bulk,HTML UI,Session pagination,Mark / owner / class,public_portal,No login,Not published,Yes,Yes,Weekly,active,2026-07-20,"Stable but older UI; scraping requires form post handling."
TMK-0160,Germany,DE,"Germany","DPMAregister",https://register.dpma.de/DPMAregister/marke/basis,https://register.dpma.de/DPMAregister/marke/basis,https://www.dpma.de/english/trade_marks/apply/,https://register.dpma.de/DPMAregister/marke/basis,https://register.dpma.de/DPMAregister/marke/trefferliste,https://register.dpma.de/DPMAregister/marke/trefferliste,No API,Data center docs exist,Limited bulk,HTML UI,Page navigation,Mark / owner / class / status,public_portal,No login,Not published,Yes,Yes,Daily,active,2026-07-20,"Advanced register; supports deep filtering."
TMK-0161,France,FR,"France","INPI Trademark Register",https://data.inpi.fr/search,https://data.inpi.fr/search,https://procedures.inpi.fr/,https://data.inpi.fr/search,https://data.inpi.fr/publications,https://data.inpi.fr/publications,API gateway exists,Docs available,Partial bulk,JSON + UI,API + UI pagination,Mark / owner / class / status,hybrid,API key required for API,Published,Yes,Yes,Daily,active,2026-07-20,"One of the few hybrid API + UI systems; API requires registration."
TMK-0162,Spain,ES,"Spain","OEPM Trademark Register",https://consultas2.oepm.es/Localizador/,https://consultas2.oepm.es/Localizador/,https://sede.oepm.gob.es/,https://consultas2.oepm.es/Localizador/,https://www.oepm.es/es/propiedad_industrial/publicaciones/,https://www.oepm.es/es/propiedad_industrial/publicaciones/,No API,Docs partial,No bulk,HTML UI,Page navigation,Mark / owner / class,public_portal,No login,Not published,Yes,Yes,Weekly,active,2026-07-20,"Legacy UI but stable."
TMK-0163,Italy,IT,"Italy","UIBM Trademark Register",https://uibm.mise.gov.it/index.php/it/servizi/banche-dati,https://uibm.mise.gov.it/index.php/it/servizi/banche-dati,https://uibm.mise.gov.it/,https://uibm.mise.gov.it/index.php/it/servizi/banche-dati,No verified gazette,No journal,No API,No docs,No bulk,HTML UI,Unknown pagination,Mark / owner / class,public_portal,No login,Not published,Yes,No,Periodic,active,2026-07-20,"Registry inconsistent; scraping unreliable."
TMK-0164,India,IN,"India","Controller General of Patents, Designs & Trademarks",https://ipindiaonline.gov.in/tmrpublicsearch/frmmain.aspx,https://ipindiaonline.gov.in/eregister/eregister.aspx,https://ipindia.gov.in/,https://ipindiaonline.gov.in/tmrpublicsearch/frmmain.aspx,https://ipindia.gov.in/writereaddata/Portal/IPOJournal/1_1001_1/TrademarkJournal.htm,https://ipindia.gov.in/writereaddata/Portal/IPOJournal/1_1001_1/TrademarkJournal.htm,No API,No docs,Journal PDFs only,HTML + PDF,Page navigation,Mark / class / proprietor,public_portal,No login,Not published,Yes,Yes,Weekly,active,2026-07-20,"Large dataset; journal PDFs useful but not machine-friendly."
TMK-0165,Singapore,SG,"Singapore","IPOS Trademark Register",https://www.ipos.gov.sg/resources/e-services/ip-search,https://www.ipos.gov.sg/resources/e-services/ip-search,https://www.ipos.gov.sg/resources/e-services/apply,https://www.ipos.gov.sg/resources/e-services/ip-search,https://www.ipos.gov.sg/resources/publications,https://www.ipos.gov.sg/resources/publications,No public API,Docs limited,No bulk,HTML UI,Session-based,Mark / owner / class,public_portal,Login for advanced,Not published,Yes,Yes,Daily,active,2026-07-20,"Modern UI; requires session handling for scraping."
